字頻序號,字,部首,筆畫,出現頻次,累積頻次,出現百分比,累積百分比
1,的,白,8,48957,48957,4.05616677,4.05616677
2,一,一,1,19931,68888,1.65131564,5.70748241
3,是,日,9,15244,84132,1.26299010,6.97047251
4,了,そ,2,12783,96915,1.05909226,8.02956477
5,不,一,4,12200,109115,1.01078977,9.04035454
6,我,戈,7,11919,121034,0.98750846,10.02786300
7,有,月,6,11588,132622,0.96008457,10.98794757
8,在,土,6,10160,142782,0.84177246,11.82972003
9,人,人,2,9173,151955,0.75999791,12.58971794
10,來,人,8,8247,160202,0.68327731,13.27299525
11,大,大,3,7963,168165,0.65974745,13.93274270
12,上,一,3,7065,175230,0.58534670,14.51808940
13,這,ひ,11,6914,182144,0.57283610,15.09092550
14,到,刀,8,6850,188994,0.56753360,15.65845910
15,們,人,10,6667,195661,0.55237175,16.21083085
16,個,人,10,6428,202089,0.53257021,16.74340106
17,小,小,3,6187,208276,0.51260297,17.25600403
18,你,人,7,6161,214437,0.51044883,17.76645286
19,子,子,3,6159,220596,0.51028313,18.27673599
20,他,人,5,6079,226675,0.50365500,18.78039099
21,以,人,5,6009,232684,0.49785539,19.27824638
22,好,女,6,5553,238237,0.46007505,19.73832143
23,為,火,9,5521,243758,0.45742380,20.19574523
24,就,尢,12,5516,249274,0.45700954,20.65275477
25,生,生,5,5444,254718,0.45104422,21.10379899
26,要,襾,9,5394,260112,0.44690164,21.55070063
27,說,言,14,5369,265481,0.44483035,21.99553098
28,中,｜,4,5339,270820,0.44234480,22.43787578
29,天,大,4,5317,276137,0.44052206,22.87839784
30,和,口,8,5193,281330,0.43024846,23.30864630
31,時,日,10,5116,286446,0.42386889,23.73251519
32,可,口,5,4993,291439,0.41367814,24.14619333
33,麼,麻,14,4864,296303,0.40299028,24.54918361
34,看,目,9,4786,301089,0.39652785,24.94571146
35,會,曰,13,4776,305865,0.39569934,25.34141080
36,地,土,6,4773,310638,0.39545078,25.73686158
37,家,で,10,4707,315345,0.38998258,26.12684416
38,下,一,3,4670,320015,0.38691707,26.51376123
39,出,凵,5,4639,324654,0.38434867,26.89810990
40,學,子,16,4470,329124,0.37034674,27.26845664
41,著,艸,12,4398,333522,0.36438143,27.63283807
42,國,囗,11,4185,337707,0.34673403,27.97957210
43,得,彳,11,4150,341857,0.34383422,28.32340632
44,也,乙,3,4074,345931,0.33753750,28.66094382
45,用,用,5,4033,349964,0.33414058,28.99508440
46,多,夕,6,3981,353945,0.32983230,29.32491670
47,成,戈,6,3812,357757,0.31583038,29.64074708
48,年,干,6,3679,361436,0.30481111,29.94555819
49,裡,衣,13,3636,365072,0.30124849,30.24680668
50,過,ひ,13,3413,368485,0.28277258,30.52957926
51,去,づ,5,3405,371890,0.28210977,30.81168903
52,能,肉,10,3396,375286,0.28136410,31.09305313
53,後,彳,9,3385,378671,0.28045273,31.37350586
54,長,長,8,3374,382045,0.27954137,31.65304723
55,都,邑,11,3370,385415,0.27920996,31.93225719
56,分,刀,4,3288,388703,0.27241613,32.20467332
57,很,彳,9,3229,391932,0.26752788,32.47220120
58,老,老,6,3079,395011,0.25510014,32.72730134
59,動,力,11,3057,398068,0.25327740,32.98057874
60,起,走,10,3046,401114,0.25236604,33.23294478
61,物,牛,8,3038,404152,0.25170322,33.48464800
62,公,八,4,3031,407183,0.25112326,33.73577126
63,水,水,4,2919,410102,0.24184388,33.97761514
64,什,人,4,2918,413020,0.24176103,34.21937617
65,心,心,4,2866,415886,0.23745274,34.45682891
66,把,手,7,2842,418728,0.23546430,34.69229321
67,面,面,9,2838,421566,0.23513290,34.92742611
68,作,人,7,2834,424400,0.23480149,35.16222760
69,方,方,4,2814,427214,0.23314446,35.39537206
70,那,邑,7,2755,429969,0.22825621,35.62362827
71,十,十,2,2728,432697,0.22601922,35.84964749
72,想,心,13,2695,435392,0.22328512,36.07293261
73,樣,木,15,2646,438038,0.21922539,36.29215800
74,自,自,6,2637,440675,0.21847972,36.51063772
75,所,戶,8,2587,443262,0.21433714,36.72497486
76,然,火,12,2585,445847,0.21417144,36.93914630
77,如,女,6,2564,448411,0.21243155,37.15157785
78,三,一,3,2543,450954,0.21069167,37.36226952
79,發,ぱ,12,2522,453476,0.20895179,37.57122131
80,事,そ,8,2502,455978,0.20729475,37.77851606
81,對,寸,14,2476,458454,0.20514061,37.98365667
82,沒,水,7,2411,460865,0.19975526,38.18341193
83,還,ひ,17,2384,463249,0.19751826,38.38093019
84,同,口,6,2330,465579,0.19304428,38.57397447
85,高,高,10,2292,467871,0.18989591,38.76387038
86,道,ひ,13,2287,470158,0.18948166,38.95335204
87,師,巾,10,2277,472435,0.18865314,39.14200518
88,氣,气,10,2276,474711,0.18857029,39.33057547
89,種,禾,14,2268,476979,0.18790747,39.51848294
90,而,而,6,2264,479243,0.18757607,39.70605901
91,回,囗,6,2262,481505,0.18741036,39.89346937
92,二,二,2,2261,483766,0.18732751,40.08079688
93,開,門,12,2248,486014,0.18625044,40.26704732
94,於,方,8,2238,488252,0.18542193,40.45246925
95,頭,頁,16,2234,490486,0.18509052,40.63755977
96,現,玉,11,2201,492687,0.18235642,40.81991619
97,做,人,11,2183,494870,0.18086509,41.00078128
98,文,文,4,2177,497047,0.18036798,41.18114926
99,媽,女,13,2115,499162,0.17523118,41.35638044
100,體,骨,23,2099,501261,0.17390555,41.53028599
101,些,二,8,2090,503351,0.17315989,41.70344588
102,最,た,12,2062,505413,0.17084004,41.87428592
103,寫,で,15,2061,507474,0.17075719,42.04504311
104,又,又,2,2043,509517,0.16926586,42.21430897
105,因,囗,6,2023,511540,0.16760883,42.38191780
106,前,刀,9,2016,513556,0.16702887,42.54894667
107,從,彳,11,1999,515555,0.16562039,42.71456706
108,法,水,8,1998,517553,0.16553754,42.88010460
109,明,日,8,1965,519518,0.16280343,43.04290803
110,行,行,6,1952,521470,0.16172636,43.20463439
111,問,口,11,1920,523390,0.15907511,43.36370950
112,意,心,13,1910,525300,0.15824659,43.52195609
113,花,艸,8,1901,527201,0.15750093,43.67945702
114,日,日,4,1889,529090,0.15650671,43.83596373
115,形,ね,7,1888,530978,0.15642386,43.99238759
116,知,矢,8,1877,532855,0.15551249,44.14790008
117,四,囗,5,1847,534702,0.15302694,44.30092702
118,快,心,7,1844,536546,0.15277839,44.45370541
119,之,ぜ,4,1832,538378,0.15178417,44.60548958
120,常,巾,11,1829,540207,0.15153561,44.75702519
121,經,糸,13,1819,542026,0.15070710,44.90773229
122,教,の,11,1793,543819,0.14855296,45.05628525
123,活,水,9,1783,545602,0.14772444,45.20400969
124,太,大,4,1779,547381,0.14739303,45.35140272
125,兩,入,8,1770,549151,0.14664737,45.49805009
126,果,木,8,1755,550906,0.14540459,45.64345468
127,本,木,5,1749,552655,0.14490748,45.78836216
128,兒,儿,8,1749,554404,0.14490748,45.93326964
129,點,黑,17,1745,556149,0.14457608,46.07784572
130,當,田,13,1739,557888,0.14407897,46.22192469
131,美,羊,9,1730,559618,0.14333330,46.36525799
132,校,木,10,1697,561315,0.14059920,46.50585719
133,進,ひ,12,1691,563006,0.14010209,46.64595928
134,等,竹,12,1684,564690,0.13952213,46.78548141
135,但,人,7,1682,566372,0.13935643,46.92483784
136,樂,木,15,1681,568053,0.13927357,47.06411141
137,部,邑,11,1663,569716,0.13778224,47.20189365
138,再,た,6,1651,571367,0.13678802,47.33868167
139,數,の,15,1649,573016,0.13662232,47.47530399
140,像,人,14,1636,574652,0.13554525,47.61084924
141,只,口,5,1629,576281,0.13496529,47.74581453
142,力,力,2,1626,577907,0.13471673,47.88053126
143,色,色,6,1625,579532,0.13463388,48.01516514
144,外,夕,5,1624,581156,0.13455103,48.14971617
145,真,目,10,1621,582777,0.13430248,48.28401865
146,各,口,6,1619,584396,0.13413677,48.41815542
147,山,山,3,1617,586013,0.13397107,48.55212649
148,題,頁,18,1610,587623,0.13339111,48.68551760
149,表,衣,8,1597,589220,0.13231404,48.81783164
150,請,言,15,1592,590812,0.13189978,48.94973142
151,課,言,15,1582,592394,0.13107126,49.08080268
152,月,月,4,1581,593975,0.13098841,49.21179109
153,呢,口,8,1576,595551,0.13057415,49.34236524
154,第,竹,11,1576,597127,0.13057415,49.47293939
155,位,人,7,1569,598696,0.12999419,49.60293358
156,定,で,8,1565,600261,0.12966279,49.73259637
157,比,比,4,1562,601823,0.12941423,49.86201060
158,與,臼,14,1558,603381,0.12908282,49.99109342
159,字,子,6,1553,604934,0.12866857,50.11976199
160,身,身,7,1544,606478,0.12792290,50.24768489
161,相,目,9,1535,608013,0.12717724,50.37486213
162,間,門,12,1528,609541,0.12659728,50.50145941
163,手,手,4,1520,611061,0.12593446,50.62739387
164,王,玉,4,1516,612577,0.12560306,50.75299693
165,主,せ,5,1508,614085,0.12494024,50.87793717
166,西,襾,6,1496,615581,0.12394602,51.00188319
167,電,雨,13,1486,617067,0.12311751,51.12500070
168,五,二,4,1468,618535,0.12162618,51.24662688
169,話,言,13,1466,620001,0.12146048,51.36808736
170,見,見,7,1464,621465,0.12129477,51.48938213
171,才,手,3,1460,622925,0.12096337,51.61034550
172,使,人,8,1460,624385,0.12096337,51.73130887
173,名,口,6,1457,625842,0.12071481,51.85202368
174,走,走,7,1453,627295,0.12038340,51.97240708
175,打,手,5,1441,628736,0.11938918,52.09179626
176,聲,耳,17,1438,630174,0.11914063,52.21093689
177,邊,ひ,19,1429,631603,0.11839497,52.32933186
178,將,寸,11,1427,633030,0.11822926,52.44756112
179,海,水,10,1419,634449,0.11756645,52.56512757
180,給,糸,12,1419,635868,0.11756645,52.68269402
181,白,白,5,1407,637275,0.11657223,52.79926625
182,正,止,5,1404,638679,0.11632367,52.91558992
183,幾,ど,12,1395,640074,0.11557801,53.03116793
184,愛,心,13,1384,641458,0.11466664,53.14583457
185,音,音,9,1377,642835,0.11408668,53.25992125
186,並,一,8,1374,644209,0.11383813,53.37375938
187,加,力,5,1372,645581,0.11367242,53.48743180
188,怎,心,9,1372,646953,0.11367242,53.60110422
189,少,小,4,1371,648324,0.11358957,53.71469379
190,新,斤,13,1370,649694,0.11350672,53.82820051
191,吃,口,6,1368,651062,0.11334102,53.94154153
192,習,羽,11,1368,652430,0.11334102,54.05488255
193,她,女,6,1366,653796,0.11317531,54.16805786
194,變,言,23,1357,655153,0.11242965,54.28048751
195,被,衣,11,1355,656508,0.11226395,54.39275146
196,光,儿,6,1353,657861,0.11209824,54.50484970
197,情,心,11,1350,659211,0.11184969,54.61669939
198,重,里,9,1348,660559,0.11168398,54.72838337
199,或,戈,8,1343,661902,0.11126973,54.83965310
200,由,田,5,1338,663240,0.11085547,54.95050857
